time	V(n004)
Step Information: Wyp=100m  (Run: 1/9)
1.643137195936720e-003	2.107990e+000
1.643137221116140e-003	2.107990e+000
1.643137243414474e-003	2.107990e+000
1.643137267851789e-003	2.107990e+000
1.643137288237737e-003	2.107989e+000
1.643137357380288e-003	2.107989e+000
1.687289088863895e-003	2.041093e+000
1.687822864698438e-003	2.040284e+000
1.687846251822822e-003	2.040249e+000
1.687854921681546e-003	2.040236e+000
1.687862108419446e-003	2.040225e+000
1.688413948256471e-003	2.039433e+000
1.699662542182230e-003	2.041918e+000
1.699772995932305e-003	2.042121e+000
1.699993903432453e-003	2.042535e+000
1.700345586574510e-003	2.043204e+000
1.700352489933889e-003	2.043217e+000
1.700792065463359e-003	2.044059e+000
1.719890690225041e-003	2.066446e+000
1.738993978875554e-003	2.069983e+000
1.746157353571788e-003	2.066792e+000
1.751637567197128e-003	2.061532e+000
1.753696376301236e-003	2.059046e+000
1.755394350903841e-003	2.056745e+000
1.755977949087476e-003	2.055912e+000
1.756476557878463e-003	2.055179e+000
1.756638044935246e-003	2.054939e+000
1.756776438844389e-003	2.054731e+000
1.756820560897463e-003	2.054664e+000
1.756858180656378e-003	2.054607e+000
1.756870212784857e-003	2.054589e+000
1.756880428897193e-003	2.054574e+000
1.756883722556419e-003	2.054569e+000
1.756886494596268e-003	2.054564e+000
1.756887406712156e-003	2.054563e+000
1.756888151766394e-003	2.054562e+000
1.756888413536867e-003	2.054562e+000
1.756888610127137e-003	2.054561e+000
1.756888691922187e-003	2.054561e+000
1.756888745215859e-003	2.054561e+000
1.756888773339109e-003	2.054561e+000
1.756888793808263e-003	2.054561e+000
1.756888820139875e-003	2.054561e+000
1.756888835185206e-003	2.054561e+000
1.756888897198195e-003	2.054561e+000
1.799775028121488e-003	1.989582e+000
1.800333743354350e-003	1.988735e+000
1.800336821618024e-003	1.988731e+000
1.800337624403769e-003	1.988730e+000
1.800338362211364e-003	1.988728e+000
1.800899887514064e-003	1.987922e+000
1.812148481439823e-003	1.990483e+000
1.812260718879252e-003	1.990691e+000
1.812485193758108e-003	1.991114e+000
1.812824391074687e-003	1.991764e+000
1.812825267929682e-003	1.991765e+000
1.813277549733092e-003	1.992638e+000
1.836258147514436e-003	2.016849e+000
1.859244357163370e-003	2.015534e+000
1.864255861406212e-003	2.012030e+000
1.867687891895749e-003	2.007961e+000
1.868882103177566e-003	2.006360e+000
1.869799524194409e-003	2.005050e+000
1.870134899924253e-003	2.004559e+000
1.870412221400192e-003	2.004145e+000
1.870506722190809e-003	2.004004e+000
1.870587485865828e-003	2.003882e+000
1.870613606041788e-003	2.003842e+000
1.870635960104015e-003	2.003808e+000
1.870643108267811e-003	2.003798e+000
1.870649174310512e-003	2.003788e+000
1.870651136253770e-003	2.003786e+000
1.870652773898111e-003	2.003783e+000
1.870653322679219e-003	2.003782e+000
1.870653759298277e-003	2.003782e+000
1.870653921423166e-003	2.003781e+000
1.870654036512199e-003	2.003781e+000
1.870654089496744e-003	2.003781e+000
1.870654122432122e-003	2.003781e+000
1.870654142283344e-003	2.003781e+000
1.870654170557407e-003	2.003781e+000
1.870654186474241e-003	2.003781e+000
1.870654753319613e-003	2.003780e+000
1.912260967379081e-003	1.940740e+000
1.912775337079574e-003	1.939961e+000
1.912815034814483e-003	1.939901e+000
1.912824940495837e-003	1.939886e+000
1.912833961993376e-003	1.939872e+000
1.913385826771657e-003	1.939081e+000
1.924634420697416e-003	1.941726e+000
1.924746906636674e-003	1.941936e+000
